"0","DB Longboards CoreFlex Crossbow 41 inch Bamboo Fiberglass Longboard Complete","| RESPONSIVE FLEX: The Crossbow features a bamboo core encased in triaxial fiberglass and HD plastic for a responsive flex pattern that's second to none. Pumping & carving have never been so satisfying! Flex 2 is recommended for people 120 to 170 pounds. | COREFLEX TECH: CoreFlex construction is water resistant, impact resistant, scratch resistant and has a flex like you won't believe. These boards combine fiberglass, epoxy, HD plastic and bamboo to create a perfect blend of performance and strength. | INSPIRED BY THE NORTHWEST: Our founding ideal is chasing adventure & riding the best boards possible, inspired by the hills, waves, beaches & mountains all around our headquarters in the Northwest | BEST IN THE WORLD: DB was founded out of sheer love of longboarding with a mission to create the best custom longboards in the world, to do it sustainably, & to treat customers & employees like family | BEYOND COMPARE: Try our skateboards & accessories if you've tried similar products by Sector 9, Landyachtz, Arbor, Loaded, Globe, Orangatang, Hawgs, Powell-Peralta, Blood Orange, Caliber or Gullwing","https://images-na.ssl-images-amazon.com/images/I/51j3fPQTQkL.jpg|https://images-na.ssl-images-amazon.com/images/I/31hKM3cSoSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51WlHdwghfL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FsyLRBzwL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg","TRUE"
"1","Rayne Longboards Demonseed Longboard Complete","| EASY RIDING: This board makes longboarding feel easy and look good with double-drop through mounting and a low platform that makes pushing a breeze. It's ultra stable at any speed and ready to slide. | BOARDS FOR EVERY RIDER: Rayne Longboards prides itself in producing longboards and accessories for every rider. Whether you bomb hills, cruise, carve, dance or freeride, we've got what you need! | ECO-FRIENDLY QUALITY: We're committed to creating premium longboards and accessories from eco-friendly materials and processes. We use reclaimed, recycled, or upcycled materials whenever possible. | PREMIUM LONGBOARDS: Rayne is a premium manufacturer of longboards for downhill, freeride, dancing, carving & freestyle. We use the best eco friendly materials to build the best longboards in the world | TOP TIER LONGBOARDS: Compare Rayne's eco-friendly longboards & accessories to similar products from brands like Sector 9, Landyachtz, Arbor, Loaded, or Moonshine","https://images-na.ssl-images-amazon.com/images/I/41j14nHDzgL.jpg|https://images-na.ssl-images-amazon.com/images/I/51-y4qHwvSL.jpg|https://images-na.ssl-images-amazon.com/images/I/21ZHNx6MXyL.jpg|https://images-na.ssl-images-amazon.com/images/I/21zyJmzKL3L.jpg|https://images-na.ssl-images-amazon.com/images/I/21k-TxZ9nfL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg","TRUE"
"2","Prism Skate Co Biscuit Artist Series Skateboard at 6.5 lb, Blue, 28 inch x 8 inch 5.25 inch","| Everything you need and nothing more | Form and function in a small package | All artist Series boards feature a bamboo Top sheet","https://images-na.ssl-images-amazon.com/images/I/41OMHwIgwYL.jpg|https://images-na.ssl-images-amazon.com/images/I/31QIUxKxBNL.jpg|https://images-na.ssl-images-amazon.com/images/I/31beP19jAPL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg","TRUE"
"3","Yocaher New VW Vibe Beach Series Longboard Complete Cruiser and Decks Available for All Shapes (Complete-Oldschool-Blue)","| Old School Deck: 33 inch x 10 inch, 7-Ply Maple, Medium Concave, Low Flex | Wheels : Q-Ball 62 x 46mm Solid Wheels, 78A Hardness | Trucks: 8.625 inch high-grade axles, 150mm Hanger, Aluminum Alloy | Bearings: Abec 7 Chrome Bearings | This item is assembled already and ready to ride when you have it in. For more other cool graphics, feel free to click  inch Yocaher  inch Brand name above Title area to look for more designs we have.","https://images-na.ssl-images-amazon.com/images/I/41xfeUeKSXL.jpg|https://images-na.ssl-images-amazon.com/images/I/31ylZ3ARFtL.jpg|https://images-na.ssl-images-amazon.com/images/I/312wxI1rQ-L.jpg|https://images-na.ssl-images-amazon.com/images/I/31I5GQV4rFL.jpg|https://images-na.ssl-images-amazon.com/images/I/61Y6c-ZAUDL.jpg|https://images-na.ssl-images-amazon.com/images/I/418mRLMc4VL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg","TRUE"
"4","The Quest Super Cruiser Purple Artisan Bamboo and Maple 44 inch Longboard Skateboard","| 7 Ply Super Flex Bamboo and Hardwood Maple Deck | Durable 70x51mm 80A PU Wheels | Rugged & Lightweight 7 inch  inchAluminum Trucks | High Performance Reverse Kingpin Truck Configuration | Wheel Wells to prevent "Wheel Grab" on Extreme Turns","https://images-na.ssl-images-amazon.com/images/I/41ZVAsZsdNL.jpg|https://images-na.ssl-images-amazon.com/images/I/51u7aZt4-hL.jpg|https://images-na.ssl-images-amazon.com/images/I/513Ylp54iuL.jpg|https://images-na.ssl-images-amazon.com/images/I/31z0GoLEziL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg","TRUE"
"5","Roller Derby Slide Street Surf Skateboard Black Sox","| Canadian Maple decks | Patented spring loaded truck system | Bevo gold 7 high speed precision bearings | 65mm x 44mm wheels with 78a Super high Rebound durometer | Includes truck adjustment tool & sticker pack","https://images-na.ssl-images-amazon.com/images/I/515AMN0SmhL.jpg|https://images-na.ssl-images-amazon.com/images/I/5187-g%2BsjBL.jpg|https://images-na.ssl-images-amazon.com/images/I/51GUfvuYaUL.jpg|https://images-na.ssl-images-amazon.com/images/I/31G%2BZdPI6kL.jpg|https://images-na.ssl-images-amazon.com/images/I/414fMwixAsL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FpKGrg1eL.jpg|https://images-na.ssl-images-amazon.com/images/I/51SPAci8LmL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg","TRUE"
"6","Beercan Boards 38 inch Root Beer Dragon Life RED","| Bear trucks - we use only the best trucks, for optimum maneuverability, safety, and style. | Abec 9 bearings - we use only the best bearings in the construction of our boards so that riders are confident in the safety and durability of their board. | Finger grommets - our unique finger grommets allow riders to enjoy an easy and comfortable method of transporting their board. | "Bottle caps" - end caps made from Recycled plastic, these nose guards protect you, the board and the planet. | Die cut grip tape - taking design to an efficient level, We cut custom designs out of our grip tape so that you don't have to sacrifice safety for style.","https://images-na.ssl-images-amazon.com/images/I/31viach9kaL.jpg|https://images-na.ssl-images-amazon.com/images/I/31H22hqXbzL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg","TRUE"
"7","Retrospec Rift Drop-Through Longboard Skateboard Complete","| Classic retro-surf-style longboard for commuting, cruising, carving, and downhill riding | Dimensions: 41 inch x 9.5 inch featuring drop-through trucks | Made with 8-ply vertically laminated Canadian Maple | ABEC-7 pre-lubricated high-speed carbon bearings for a smooth, fast ride | 70 x 51mm PU-casted cushion 78a wheels","https://images-na.ssl-images-amazon.com/images/I/41BdKmUd75L.jpg|https://images-na.ssl-images-amazon.com/images/I/31xz512RKzL.jpg|https://images-na.ssl-images-amazon.com/images/I/31tfiHEycrL.jpg|https://images-na.ssl-images-amazon.com/images/I/31R4jgGpTPL.jpg|https://images-na.ssl-images-amazon.com/images/I/412grgzYnjL.jpg|https://images-na.ssl-images-amazon.com/images/I/41wjTYj4dlL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg","TRUE"
"8","Yocaher New VW Vibe Beach Series Longboard Complete Cruiser and Decks Available for All Shapes (Complete-DropDown-Blue)","| Drop Down Deck: 41.25 inch x 10 inch, 9-Ply Maple, High Concave, None Flex | Wheels : Q-Ball 70 x 52mm Solid Wheels, 78A Hardness | Trucks: 9.675 HD7 Heavy Duty Trucks, 180mm Hanger, Aluminum Alloy | Bearings: Abec 7 Chrome Bearings | This item is assembled already and ready to ride when you have it in. For more other cool graphics, feel free to click  inch Yocaher  inch Brand name above Title area to look for more designs we have.","https://images-na.ssl-images-amazon.com/images/I/41ysem5gr%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/41E2oYm9ygL.jpg|https://images-na.ssl-images-amazon.com/images/I/41acOm4hmNL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg","TRUE"
"9","Bamboo Skateboards â€“ Pintail Longboard Tiki Man 44 inch x 9.5 inch Deck","| Unique design | Bamboo construction | Awesome ride | Earned 2012 skateboard of the year by major online skateboard magazine | Multiple independent longboard studies prove bamboo skateboards strength and bending flexibility beats out top competitors | Best performing sustainable skateboard on the market - PERIOD","https://images-na.ssl-images-amazon.com/images/I/51DUiigg06L.jpg|https://images-na.ssl-images-amazon.com/images/I/51XdkBDEaDL.jpg|https://images-na.ssl-images-amazon.com/images/I/51S%2BueooicL.jpg|https://images-na.ssl-images-amazon.com/images/I/41yNg0ZlO5L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg","TRUE"
